combinacion;num1;num2;num3;num4;num5
01623;0;1;6;2;3
01632;0;1;6;3;2
02136;0;2;1;3;6
02163;0;2;1;6;3
02316;0;2;3;1;6
02361;0;2;3;6;1
02613;0;2;6;1;3
02631;0;2;6;3;1
03126;0;3;1;2;6
03162;0;3;1;6;2
03216;0;3;2;1;6
03261;0;3;2;6;1
03612;0;3;6;1;2
03621;0;3;6;2;1
06123;0;6;1;2;3
06132;0;6;1;3;2
06213;0;6;2;1;3
06231;0;6;2;3;1
06312;0;6;3;1;2
06321;0;6;3;2;1
10236;1;0;2;3;6
10263;1;0;2;6;3
10326;1;0;3;2;6
10362;1;0;3;6;2
10623;1;0;6;2;3
10632;1;0;6;3;2
12036;1;2;0;3;6
12063;1;2;0;6;3
12306;1;2;3;0;6
12360;1;2;3;6;0
12603;1;2;6;0;3
12630;1;2;6;3;0
13026;1;3;0;2;6
13062;1;3;0;6;2
13206;1;3;2;0;6
13260;1;3;2;6;0
13602;1;3;6;0;2
13620;1;3;6;2;0
16023;1;6;0;2;3
16032;1;6;0;3;2
16203;1;6;2;0;3
16230;1;6;2;3;0
16302;1;6;3;0;2
16320;1;6;3;2;0
20136;2;0;1;3;6
20163;2;0;1;6;3
20316;2;0;3;1;6
20361;2;0;3;6;1
20613;2;0;6;1;3
20631;2;0;6;3;1
21036;2;1;0;3;6
21063;2;1;0;6;3
21306;2;1;3;0;6
21360;2;1;3;6;0
21603;2;1;6;0;3
21630;2;1;6;3;0
23016;2;3;0;1;6
23061;2;3;0;6;1
23106;2;3;1;0;6
23160;2;3;1;6;0
23601;2;3;6;0;1
23610;2;3;6;1;0
26013;2;6;0;1;3
26031;2;6;0;3;1
26103;2;6;1;0;3
26130;2;6;1;3;0
26301;2;6;3;0;1
26310;2;6;3;1;0
30126;3;0;1;2;6
30162;3;0;1;6;2
30216;3;0;2;1;6
30261;3;0;2;6;1
30612;3;0;6;1;2
30621;3;0;6;2;1
31026;3;1;0;2;6
31062;3;1;0;6;2
31206;3;1;2;0;6
31260;3;1;2;6;0
31602;3;1;6;0;2
31620;3;1;6;2;0
32016;3;2;0;1;6
32061;3;2;0;6;1
32106;3;2;1;0;6
32160;3;2;1;6;0
32601;3;2;6;0;1
32610;3;2;6;1;0
36012;3;6;0;1;2
36021;3;6;0;2;1
36102;3;6;1;0;2
36120;3;6;1;2;0
36201;3;6;2;0;1
36210;3;6;2;1;0
60123;6;0;1;2;3
60132;6;0;1;3;2
60213;6;0;2;1;3
60231;6;0;2;3;1
60312;6;0;3;1;2
60321;6;0;3;2;1
61023;6;1;0;2;3
61032;6;1;0;3;2
61203;6;1;2;0;3
61230;6;1;2;3;0
61302;6;1;3;0;2
61320;6;1;3;2;0
62013;6;2;0;1;3
62031;6;2;0;3;1
62103;6;2;1;0;3
62130;6;2;1;3;0
62301;6;2;3;0;1
62310;6;2;3;1;0
63012;6;3;0;1;2
63021;6;3;0;2;1
63102;6;3;1;0;2
63120;6;3;1;2;0
63201;6;3;2;0;1
63210;6;3;2;1;0
01237;0;1;2;3;7
01273;0;1;2;7;3
01327;0;1;3;2;7
01372;0;1;3;7;2
01723;0;1;7;2;3
01732;0;1;7;3;2
02137;0;2;1;3;7
02173;0;2;1;7;3
02317;0;2;3;1;7
02371;0;2;3;7;1
02713;0;2;7;1;3
02731;0;2;7;3;1
03127;0;3;1;2;7
03172;0;3;1;7;2
03217;0;3;2;1;7
03271;0;3;2;7;1
03712;0;3;7;1;2
03721;0;3;7;2;1
07123;0;7;1;2;3
07132;0;7;1;3;2
07213;0;7;2;1;3
07231;0;7;2;3;1
07312;0;7;3;1;2
07321;0;7;3;2;1
10237;1;0;2;3;7
10273;1;0;2;7;3
10327;1;0;3;2;7
10372;1;0;3;7;2
10723;1;0;7;2;3
10732;1;0;7;3;2
12037;1;2;0;3;7
12073;1;2;0;7;3
12307;1;2;3;0;7
12370;1;2;3;7;0
12703;1;2;7;0;3
12730;1;2;7;3;0
13027;1;3;0;2;7
13072;1;3;0;7;2
13207;1;3;2;0;7
13270;1;3;2;7;0
13702;1;3;7;0;2
13720;1;3;7;2;0
17023;1;7;0;2;3
17032;1;7;0;3;2
17203;1;7;2;0;3
17230;1;7;2;3;0
17302;1;7;3;0;2
17320;1;7;3;2;0
20137;2;0;1;3;7
20173;2;0;1;7;3
20317;2;0;3;1;7
20371;2;0;3;7;1
20713;2;0;7;1;3
20731;2;0;7;3;1
21037;2;1;0;3;7
21073;2;1;0;7;3
21307;2;1;3;0;7
21370;2;1;3;7;0
21703;2;1;7;0;3
21730;2;1;7;3;0
23017;2;3;0;1;7
23071;2;3;0;7;1
23107;2;3;1;0;7
23170;2;3;1;7;0
23701;2;3;7;0;1
23710;2;3;7;1;0
27013;2;7;0;1;3
27031;2;7;0;3;1
27103;2;7;1;0;3
27130;2;7;1;3;0
27301;2;7;3;0;1
27310;2;7;3;1;0
30127;3;0;1;2;7
30172;3;0;1;7;2
30217;3;0;2;1;7
30271;3;0;2;7;1
30712;3;0;7;1;2
30721;3;0;7;2;1
31027;3;1;0;2;7
31072;3;1;0;7;2
31207;3;1;2;0;7
31270;3;1;2;7;0
31702;3;1;7;0;2
31720;3;1;7;2;0
32017;3;2;0;1;7
32071;3;2;0;7;1
32107;3;2;1;0;7
32170;3;2;1;7;0
32701;3;2;7;0;1
32710;3;2;7;1;0
37012;3;7;0;1;2
37021;3;7;0;2;1
37102;3;7;1;0;2
37120;3;7;1;2;0
37201;3;7;2;0;1
37210;3;7;2;1;0
70123;7;0;1;2;3
70132;7;0;1;3;2
70213;7;0;2;1;3
70231;7;0;2;3;1
70312;7;0;3;1;2
70321;7;0;3;2;1
71023;7;1;0;2;3
71032;7;1;0;3;2
71203;7;1;2;0;3
71230;7;1;2;3;0
71302;7;1;3;0;2
71320;7;1;3;2;0
72013;7;2;0;1;3
72031;7;2;0;3;1
72103;7;2;1;0;3
72130;7;2;1;3;0
72301;7;2;3;0;1
72310;7;2;3;1;0
73012;7;3;0;1;2
73021;7;3;0;2;1
73102;7;3;1;0;2
73120;7;3;1;2;0
73201;7;3;2;0;1
73210;7;3;2;1;0
01238;0;1;2;3;8
01283;0;1;2;8;3
01328;0;1;3;2;8
01382;0;1;3;8;2
01823;0;1;8;2;3
01832;0;1;8;3;2
02138;0;2;1;3;8
02183;0;2;1;8;3
02318;0;2;3;1;8
02381;0;2;3;8;1
02813;0;2;8;1;3
02831;0;2;8;3;1
03128;0;3;1;2;8
03182;0;3;1;8;2
03218;0;3;2;1;8
03281;0;3;2;8;1
03812;0;3;8;1;2
03821;0;3;8;2;1
08123;0;8;1;2;3
08132;0;8;1;3;2
08213;0;8;2;1;3
08231;0;8;2;3;1
08312;0;8;3;1;2
08321;0;8;3;2;1
10238;1;0;2;3;8
10283;1;0;2;8;3
10328;1;0;3;2;8
10382;1;0;3;8;2
10823;1;0;8;2;3
10832;1;0;8;3;2
12038;1;2;0;3;8
12083;1;2;0;8;3
12308;1;2;3;0;8
12380;1;2;3;8;0
12803;1;2;8;0;3
12830;1;2;8;3;0
13028;1;3;0;2;8
13082;1;3;0;8;2
13208;1;3;2;0;8
13280;1;3;2;8;0
13802;1;3;8;0;2
13820;1;3;8;2;0
18023;1;8;0;2;3
18032;1;8;0;3;2
18203;1;8;2;0;3
18230;1;8;2;3;0
18302;1;8;3;0;2
18320;1;8;3;2;0
20138;2;0;1;3;8
20183;2;0;1;8;3
20318;2;0;3;1;8
20381;2;0;3;8;1
20813;2;0;8;1;3
20831;2;0;8;3;1
21038;2;1;0;3;8
21083;2;1;0;8;3
21308;2;1;3;0;8
21380;2;1;3;8;0
21803;2;1;8;0;3
21830;2;1;8;3;0
23018;2;3;0;1;8
23081;2;3;0;8;1
23108;2;3;1;0;8
23180;2;3;1;8;0
23801;2;3;8;0;1
23810;2;3;8;1;0
28013;2;8;0;1;3
28031;2;8;0;3;1
28103;2;8;1;0;3
28130;2;8;1;3;0
28301;2;8;3;0;1
28310;2;8;3;1;0
30128;3;0;1;2;8
