combinacion;num1;num2;num3;num4;num_contained
0123;0;1;2;3;0
0312;0;3;1;2;0
0321;0;3;2;1;0
2013;2;0;1;3;0
2103;2;1;0;3;0
2301;2;3;0;1;0
2310;2;3;1;0;0
3012;3;0;1;2;0
3021;3;0;2;1;0
3102;3;1;0;2;0
3120;3;1;2;0;0
0142;0;1;4;2;0
0412;0;4;1;2;0
0421;0;4;2;1;0
2041;2;0;4;1;0
2140;2;1;4;0;0
2401;2;4;0;1;0
2410;2;4;1;0;0
4012;4;0;1;2;0
4021;4;0;2;1;0
4102;4;1;0;2;0
4120;4;1;2;0;0
0125;0;1;2;5;1
0152;0;1;5;2;1
0512;0;5;1;2;1
0521;0;5;2;1;1
2015;2;0;1;5;1
2051;2;0;5;1;1
2105;2;1;0;5;1
2150;2;1;5;0;1
2501;2;5;0;1;1
2510;2;5;1;0;1
5012;5;0;1;2;1
5021;5;0;2;1;1
5102;5;1;0;2;1
5120;5;1;2;0;1
0126;0;1;2;6;1
0162;0;1;6;2;1
0612;0;6;1;2;1
0621;0;6;2;1;1
2016;2;0;1;6;1
2061;2;0;6;1;1
2106;2;1;0;6;1
2160;2;1;6;0;1
2601;2;6;0;1;1
2610;2;6;1;0;1
6012;6;0;1;2;1
6021;6;0;2;1;1
6102;6;1;0;2;1
6120;6;1;2;0;1
0127;0;1;2;7;1
0172;0;1;7;2;1
0712;0;7;1;2;1
0721;0;7;2;1;1
2017;2;0;1;7;1
2071;2;0;7;1;1
2107;2;1;0;7;1
2170;2;1;7;0;1
2701;2;7;0;1;1
2710;2;7;1;0;1
7012;7;0;1;2;1
7021;7;0;2;1;1
7102;7;1;0;2;1
7120;7;1;2;0;1
0128;0;1;2;8;1
0182;0;1;8;2;1
0812;0;8;1;2;1
0821;0;8;2;1;1
2018;2;0;1;8;1
2081;2;0;8;1;1
2108;2;1;0;8;1
2180;2;1;8;0;1
2801;2;8;0;1;1
2810;2;8;1;0;1
8012;8;0;1;2;1
8021;8;0;2;1;1
8102;8;1;0;2;1
8120;8;1;2;0;1
0129;0;1;2;9;0
0192;0;1;9;2;0
0912;0;9;1;2;0
0921;0;9;2;1;0
2019;2;0;1;9;0
2091;2;0;9;1;0
2109;2;1;0;9;0
2190;2;1;9;0;0
2901;2;9;0;1;0
2910;2;9;1;0;0
9012;9;0;1;2;0
9021;9;0;2;1;0
9102;9;1;0;2;0
9120;9;1;2;0;0
0143;0;1;4;3;0
